location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25 or older,300x250,Subscribe Today - 10% Discount,California,abcnews.go.com,Google Ad Manager,Apple PC,10524,55,7601,10242,11,6136.133902
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,Online Behavior>United States>Finance>Financial Planning and Management>Retirement and Pension,320x50,Sign up Today - 10% Off,Florida,accuweather.com,PubMatic,Smartphone,18324,60,3145,13703,8,6996.231838
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Hobbies and Leisure>Outdoors>Equestrian,300x250,Subscribe Today - 10% Discount,California,accuweather.com,Google Ad Manager,Smartphone,7862,20,2152,6039,2,6506.433687
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Intent>Auto Buyers>Car Make>Audi Q,300x250,Sign up Now - 10% Off,Michigan,accuweather.com,Xandr - Monetize SSP (AppNexus),Smartphone,10501,90,4126,7654,8,6244.517921
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Beauty and Fitness>Fitness>Fitness Instruction and Personal Training,300x250,Sign up Now - 10% Off,Illinois,accuweather.com,Magnite DV+,Apple PC,23156,73,4468,18821,15,6173.41289
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Autos and Vehicles>Brands>Jeep,320x50,Sign up Now - 10% Off,California,accuweather.com,Google Ad Manager,Smartphone,23711,69,4337,17211,8,5740.952219
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Autos and Vehicles>Brands>Mercedes-Benz,320x50,Subscribe Today - 10% Discount,Tennessee,accuweather.com,PubMatic,Smartphone,23965,270,13608,21704,12,5706.864417
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-54,300x250,Sign up Now - 10% Off,Tennessee,accuweather.com,Google Ad Manager,Smartphone,14730,88,1272,12427,3,5190.535998
"Champaign & Springfield-Decatur,Illinois",Champaign & Springfield-Decatur,Illinois,Champaign,Online Behavior>United States>Validated Demographic>Age>55-64,300x250,10% Discount - Ends 6/1,Illinois,accuweather.com,Magnite DV+,Smartphone,36863,116,3570,29458,15,4752.816685
"Ft. Myers-Naples, Florida",Ft. Myers-Naples,Florida,Ft. Myers,US>Interest Propensities>Brands>Quick Service Restaurants,320x50,Sign up Now - 10% Off,Florida,accuweather.com,BidSwitch,Smartphone,213699,270,18395,164487,4,2194.987125
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,US>B2B>B2B Decision Maker Responsibilities>Purchasing Utilities,320x50,Sign up Today - 10% Off,Michigan,accuweather.com,OpenX,Smartphone,49936,126,25461,44751,13,2025.784019
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Interest Propensities>TV and Movies>Sports TV,300x250,Sign up Today - 10% Off,California,accuweather.com,Yahoo Exchange,Smartphone,15200,60,5375,12040,4,1970.357345
"Chicago, Illinois",Chicago,Illinois,Chicago,Real Estate>Occupancy>Owner Occupied,300x250,Sign up Now - 10% Off,Illinois,accuweather.com,Google Ad Manager,Windows PC,49250,220,9205,43535,15,1694.470977
"San Francisco, California",San Francisco,California,San Francisco,US Financial>Likely Credit Card>Card in Own Name>Any major Credit/Debit Card (Financial),300x250,Subscribe Today - 10% Discount,California,accuweather.com,BidSwitch,Smartphone,10811,25,988,2975,3,1679.833815
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>People and Society>Millennials,300x250,Sign up Today - 10% Off,Florida,accuweather.com,BidSwitch,Smartphone,23829,75,8326,18812,5,1534.698
"Los Angeles, California",Los Angeles,California,Los Angeles,OnAudience>Intent>Electronics>Video>Televisions,320x50,10% Discount - Ends 6/1,California,accuweather.com,OpenX,Smartphone,19826,39,6511,15752,10,1447.873298
"Chicago, Illinois",Chicago,Illinois,Chicago,"Online Behavior>United States>Arts and Entertainment>Events and Listings>Bars, Clubs and Nightlife",300x250,10% Discount - Ends 6/1,Illinois,activebeat.com,Magnite DV+,Windows PC,81905,220,61995,71110,24,7065.66928
