location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost,ctr,conv_rate,cpa,cpc,eCPM,view_rate,vCPM
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 25 or older,300x250,Subscribe Today - 10% Discount,California,abcnews.go.com,Google Ad Manager,Apple PC,10524,55,7601,10242,11,6136.133902,0.005226149752945648,0.2,557.8303547272727,111.56607094545454,583.0609941087038,0.7421402069908221,807.2798187080647
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,Online Behavior>United States>Finance>Financial Planning and Management>Retirement and Pension,320x50,Sign up Today - 10% Off,Florida,accuweather.com,PubMatic,Smartphone,18324,60,3145,13703,8,6996.231838,0.0032743942370661427,0.13333333333333333,874.52897975,116.60386396666667,381.80702019209775,0.22951178574034883,2224.5570232114464
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Hobbies and Leisure>Outdoors>Equestrian,300x250,Subscribe Today - 10% Discount,California,accuweather.com,Google Ad Manager,Smartphone,7862,20,2152,6039,2,6506.433687,0.0025438819638768763,0.1,3253.2168435,325.32168435,827.5799652760112,0.3563503891372744,3023.4357281598514
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,Online Behavior>United States>Intent>Auto Buyers>Car Make>Audi Q,300x250,Sign up Now - 10% Off,Michigan,accuweather.com,Xandr - Monetize SSP (AppNexus),Smartphone,10501,90,4126,7654,8,6244.517921,0.008570612322635939,0.08888888888888889,780.564740125,69.38353245555555,594.6593582515951,0.5390645414162529,1513.455627968977
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Beauty and Fitness>Fitness>Fitness Instruction and Personal Training,300x250,Sign up Now - 10% Off,Illinois,accuweather.com,Magnite DV+,Apple PC,23156,73,4468,18821,15,6173.41289,0.0031525306615995856,0.2054794520547945,411.5608593333333,84.56729986301369,266.6010057868371,0.23739439987248287,1381.694917188899
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Autos and Vehicles>Brands>Jeep,320x50,Sign up Now - 10% Off,California,accuweather.com,Google Ad Manager,Smartphone,23711,69,4337,17211,8,5740.952219,0.0029100417527729745,0.11594202898550725,717.619027375,83.20220607246377,242.1218935936907,0.2519900063912614,1323.7150608715701
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Autos and Vehicles>Brands>Mercedes-Benz,320x50,Subscribe Today - 10% Discount,Tennessee,accuweather.com,PubMatic,Smartphone,23965,270,13608,21704,12,5706.864417,0.011266430210723972,0.044444444444444446,475.57203475,21.136534877777777,238.1332950970165,0.6269812016218209,419.37569201940033
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Males 18-54,300x250,Sign up Now - 10% Off,Tennessee,accuweather.com,Google Ad Manager,Smartphone,14730,88,1272,12427,3,5190.535998,0.005974202308214528,0.03409090909090909,1730.178666,58.983363613636364,352.3785470468432,0.10235776937313913,4080.6100613207545
"Champaign & Springfield-Decatur,Illinois",Champaign & Springfield-Decatur,Illinois,Champaign,Online Behavior>United States>Validated Demographic>Age>55-64,300x250,10% Discount - Ends 6/1,Illinois,accuweather.com,Magnite DV+,Smartphone,36863,116,3570,29458,15,4752.816685,0.0031467867509426795,0.12931034482758622,316.85444566666666,40.972557629310344,128.9319015001492,0.12118949012152895,1331.321200280112
"Ft. Myers-Naples, Florida",Ft. Myers-Naples,Florida,Ft. Myers,US>Interest Propensities>Brands>Quick Service Restaurants,320x50,Sign up Now - 10% Off,Florida,accuweather.com,BidSwitch,Smartphone,213699,270,18395,164487,4,2194.987125,0.0012634593517049683,0.014814814814814815,548.74678125,8.129581944444444,10.271396333160192,0.11183254603707284,119.3252038597445
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,US>B2B>B2B Decision Maker Responsibilities>Purchasing Utilities,320x50,Sign up Today - 10% Off,Michigan,accuweather.com,OpenX,Smartphone,49936,126,25461,44751,13,2025.784019,0.002523229734059596,0.10317460317460317,155.8295399230769,16.077650944444443,40.56760691685357,0.5689481799289401,79.56419696791171
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Interest Propensities>TV and Movies>Sports TV,300x250,Sign up Today - 10% Off,California,accuweather.com,Yahoo Exchange,Smartphone,15200,60,5375,12040,4,1970.357345,0.003947368421052632,0.06666666666666667,492.58933625,32.839289083333334,129.62877269736842,0.44642857142857145,366.5781106976744
"Chicago, Illinois",Chicago,Illinois,Chicago,Real Estate>Occupancy>Owner Occupied,300x250,Sign up Now - 10% Off,Illinois,accuweather.com,Google Ad Manager,Windows PC,49250,220,9205,43535,15,1694.470977,0.004467005076142132,0.06818181818181818,112.9647318,7.702140804545454,34.40550207106599,0.2114390720110256,184.0815835958718
"San Francisco, California",San Francisco,California,San Francisco,US Financial>Likely Credit Card>Card in Own Name>Any major Credit/Debit Card (Financial),300x250,Subscribe Today - 10% Discount,California,accuweather.com,BidSwitch,Smartphone,10811,25,988,2975,3,1679.833815,0.002312459531958191,0.12,559.944605,67.1933526,155.38190870409767,0.33210084033613446,1700.2366548582995
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>People and Society>Millennials,300x250,Sign up Today - 10% Off,Florida,accuweather.com,BidSwitch,Smartphone,23829,75,8326,18812,5,1534.698,0.0031474254060178774,0.06666666666666667,306.93960000000004,20.46264,64.40463301019767,0.44258983627471826,184.32596685082873
"Los Angeles, California",Los Angeles,California,Los Angeles,OnAudience>Intent>Electronics>Video>Televisions,320x50,10% Discount - Ends 6/1,California,accuweather.com,OpenX,Smartphone,19826,39,6511,15752,10,1447.873298,0.0019671138908503986,0.2564102564102564,144.7873298,37.12495635897436,73.0290173509533,0.4133443372270188,222.37341391491321
