city_primary,state,total_conversions,total_gross_cost,total_clicks,total_impressions,total_measurable_impressions,total_viewable_impressions,avg_cpa,avg_conv_rate,avg_cpc,avg_ctr,avg_view_rate,avg_vcpm
Savannah,Georgia,24,17418.367198,877,352251,97514,17834,725.77,0.0274,19.86,0.0025,0.1829,976.69
Chattanooga,Tennessee,30,20622.126034,540,236949,206324,116154,687.4,0.0556,38.19,0.0023,0.563,177.54
Huntsville,Alabama,11,7513.13297,130,30736,28879,10304,683.01,0.0846,57.79,0.0042,0.3568,729.15
Tri-Cities,Tennessee,22,13897.472343,951,366339,308829,210839,631.7,0.0231,14.61,0.0026,0.6827,65.92
Charleston,South Carolina,29,16746.370792,1431,514043,426607,211878,577.46,0.0203,11.7,0.0028,0.4967,79.04
Shreveport,Louisiana,6,3324.74253,652,234889,147391,74662,554.12,0.0092,5.1,0.0028,0.5066,44.53
Flint,Michigan,61,30674.026018,1994,671836,518127,229991,502.85,0.0306,15.38,0.003,0.4439,133.37
Lansing,Michigan,38,17191.598314,1862,684023,577408,136733,452.41,0.0204,9.23,0.0027,0.2368,125.73
Jacksonville,Florida,246,109487.092065,4938,1637526,1488702,835319,445.07,0.0498,22.17,0.003,0.5611,131.07
Tampa,Florida,103,45539.742574,1708,503720,436146,250265,442.13,0.0603,26.66,0.0034,0.5738,181.97
San Francisco,California,516,221468.72532,21467,7586319,6343910,3704351,429.2,0.024,10.32,0.0028,0.5839,59.79
Rockford,Illinois,18,7617.121667,281,74754,65141,26092,423.17,0.0641,27.11,0.0038,0.4005,291.93
Grand Rapids,Michigan,207,86922.089116,3600,1068222,891102,432514,419.91,0.0575,24.15,0.0034,0.4854,200.97
Knoxville,Tennessee,116,46787.466198,1979,712313,594946,247035,403.34,0.0586,23.64,0.0028,0.4152,189.4
Orlando,Florida,147,58362.895887,1742,588916,479570,264979,397.03,0.0844,33.5,0.003,0.5525,220.25
Little Rock,Arkansas,12,4594.604003,30,9319,8682,6193,382.88,0.4,153.15,0.0032,0.7133,741.9
Champaign,Illinois,57,21602.227030000002,1003,261679,229197,137050,378.99,0.0568,21.54,0.0038,0.598,157.62
Peoria,Illinois,44,16451.520899,547,177898,81462,29775,373.9,0.0804,30.08,0.0031,0.3655,552.53
Ft. Myers,Florida,125,46021.621451,4594,1535857,1388925,642779,368.17,0.0272,10.02,0.003,0.4628,71.6
West Palm Beach,Florida,191,69677.573611,3698,1159025,1056186,570510,364.8,0.0516,18.84,0.0032,0.5402,122.13
Tallahassee,Florida,54,19568.853757,1552,561225,484938,191941,362.39,0.0348,12.61,0.0028,0.3958,101.95
Mobile,Alabama,14,4984.895331,209,49633,47928,42133,356.06,0.067,23.85,0.0042,0.8791,118.31
Birmingham,Alabama,13,4559.394939,354,103450,95935,45292,350.72,0.0367,12.88,0.0034,0.4721,100.67
Nashville,Tennessee,526,182987.176966,10910,3809996,3438442,2295337,347.88,0.0482,16.77,0.0029,0.6676,79.72
Los Angeles,California,921,312014.130018,34289,12568767,11101200,6868247,338.78,0.0269,9.1,0.0027,0.6187,45.43
Memphis,Tennessee,113,36607.191792,2806,1109413,934239,525066,323.96,0.0403,13.05,0.0025,0.562,69.72
South Bend,Indiana,81,26195.86652,1127,387261,317330,128095,323.41,0.0719,23.24,0.0029,0.4037,204.5
Chicago,Illinois,2138,636044.948058,67345,27343215,23732711,14123143,297.5,0.0317,9.44,0.0025,0.5951,45.04
Miami,Florida,675,200658.395266,17801,6159915,5535809,3118842,297.27,0.0379,11.27,0.0029,0.5634,64.34
Jackson,Mississippi,39,11562.401105,1035,370356,234430,159011,296.47,0.0377,11.17,0.0028,0.6783,72.71
New York City,New York,1500,415179.265736,35141,12389658,10881889,5251481,276.79,0.0427,11.81,0.0028,0.4826,79.06
Augusta,Georgia,79,20124.499471,1168,372088,175193,106963,254.74,0.0676,17.23,0.0031,0.6105,188.14
Cincinnati,Ohio,6,1513.088728,147,36543,27358,18046,252.18,0.0408,10.29,0.004,0.6596,83.85
Toledo,Ohio,14,3353.158152,560,219983,198070,155722,239.51,0.025,5.99,0.0025,0.7862,21.53
Louisville,Kentucky,15,2753.711986,174,68114,2059,569,183.58,0.0862,15.83,0.0026,0.2763,4839.56
Panama City,Florida,47,8211.317227,731,215308,194621,38251,174.71,0.0643,11.23,0.0034,0.1965,214.67
Ft. Wayne,Indiana,138,18895.235989,1778,586285,545085,293919,136.92,0.0776,10.63,0.003,0.5392,64.29
Lafayette,Indiana,96,4786.494349,1906,927661,831325,364305,49.86,0.0504,2.51,0.0021,0.4382,13.14
